Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,AverageFitness
1,-0.1000,0.1000,350,205,0.6500,0.3000,0.1500,0.0650
2,-0.1000,0.1000,350,143,0.6500,0.3000,0.1500,0.0829
3,-0.5500,0.5500,350,205,0.6500,0.3000,0.1500,0.0654
4,-0.5500,0.5500,350,143,0.6500,0.3000,0.1500,0.0787
5,-0.7000,0.7000,350,205,0.6500,0.3000,0.1500,0.1133
6,-0.7000,0.7000,350,143,0.6500,0.3000,0.1500,0.0489
7,-0.1000,0.1000,900,529,0.6500,0.3000,0.1500,0.0303
8,-0.1000,0.1000,900,368,0.6500,0.3000,0.1500,0.0585
9,-0.5500,0.5500,900,529,0.6500,0.3000,0.1500,0.0896
10,-0.5500,0.5500,900,368,0.6500,0.3000,0.1500,0.0489
11,-0.7000,0.7000,900,529,0.6500,0.3000,0.1500,0.0569
12,-0.7000,0.7000,900,368,0.6500,0.3000,0.1500,0.0964
13,-0.1000,0.1000,350,205,0.4500,0.3000,0.1500,0.0706
14,-0.1000,0.1000,350,143,0.4500,0.3000,0.1500,0.0661
15,-0.5500,0.5500,350,205,0.4500,0.3000,0.1500,0.0832
16,-0.5500,0.5500,350,143,0.4500,0.3000,0.1500,0.0609
17,-0.7000,0.7000,350,205,0.4500,0.3000,0.1500,0.1271
18,-0.7000,0.7000,350,143,0.4500,0.3000,0.1500,0.1034
19,-0.1000,0.1000,900,529,0.4500,0.3000,0.1500,0.0579
20,-0.1000,0.1000,900,368,0.4500,0.3000,0.1500,0.0771
21,-0.5500,0.5500,900,529,0.4500,0.3000,0.1500,0.0588
22,-0.5500,0.5500,900,368,0.4500,0.3000,0.1500,0.0873
23,-0.7000,0.7000,900,529,0.4500,0.3000,0.1500,0.0907
24,-0.7000,0.7000,900,368,0.4500,0.3000,0.1500,0.0637
25,-0.1000,0.1000,350,205,0.6500,0.4000,0.1500,0.0484
26,-0.1000,0.1000,350,143,0.6500,0.4000,0.1500,0.0562
27,-0.5500,0.5500,350,205,0.6500,0.4000,0.1500,0.0477
28,-0.5500,0.5500,350,143,0.6500,0.4000,0.1500,0.0680
29,-0.7000,0.7000,350,205,0.6500,0.4000,0.1500,0.0407
30,-0.7000,0.7000,350,143,0.6500,0.4000,0.1500,0.0656
31,-0.1000,0.1000,900,529,0.6500,0.4000,0.1500,0.0431
32,-0.1000,0.1000,900,368,0.6500,0.4000,0.1500,0.0342
33,-0.5500,0.5500,900,529,0.6500,0.4000,0.1500,0.0456
34,-0.5500,0.5500,900,368,0.6500,0.4000,0.1500,0.0630
35,-0.7000,0.7000,900,529,0.6500,0.4000,0.1500,0.0891
36,-0.7000,0.7000,900,368,0.6500,0.4000,0.1500,0.0791
37,-0.1000,0.1000,350,205,0.4500,0.4000,0.1500,0.0580
38,-0.1000,0.1000,350,143,0.4500,0.4000,0.1500,0.0479
39,-0.5500,0.5500,350,205,0.4500,0.4000,0.1500,0.0998
40,-0.5500,0.5500,350,143,0.4500,0.4000,0.1500,0.1001
41,-0.7000,0.7000,350,205,0.4500,0.4000,0.1500,0.0569
42,-0.7000,0.7000,350,143,0.4500,0.4000,0.1500,0.0628
43,-0.1000,0.1000,900,529,0.4500,0.4000,0.1500,0.0728
44,-0.1000,0.1000,900,368,0.4500,0.4000,0.1500,0.0595
45,-0.5500,0.5500,900,529,0.4500,0.4000,0.1500,0.0475
46,-0.5500,0.5500,900,368,0.4500,0.4000,0.1500,0.0661
47,-0.7000,0.7000,900,529,0.4500,0.4000,0.1500,0.0826
48,-0.7000,0.7000,900,368,0.4500,0.4000,0.1500,0.0472
49,-0.1000,0.1000,350,205,0.6500,0.3000,0.2500,0.0839
50,-0.1000,0.1000,350,143,0.6500,0.3000,0.2500,0.0410
51,-0.5500,0.5500,350,205,0.6500,0.3000,0.2500,0.0613
52,-0.5500,0.5500,350,143,0.6500,0.3000,0.2500,0.0694
53,-0.7000,0.7000,350,205,0.6500,0.3000,0.2500,0.1348
54,-0.7000,0.7000,350,143,0.6500,0.3000,0.2500,0.0764
55,-0.1000,0.1000,900,529,0.6500,0.3000,0.2500,0.0799
56,-0.1000,0.1000,900,368,0.6500,0.3000,0.2500,0.0925
57,-0.5500,0.5500,900,529,0.6500,0.3000,0.2500,0.0661
58,-0.5500,0.5500,900,368,0.6500,0.3000,0.2500,0.0725
59,-0.7000,0.7000,900,529,0.6500,0.3000,0.2500,0.0819
60,-0.7000,0.7000,900,368,0.6500,0.3000,0.2500,0.0819
61,-0.1000,0.1000,350,205,0.4500,0.3000,0.2500,0.0592
62,-0.1000,0.1000,350,143,0.4500,0.3000,0.2500,0.0624
