Iteration,MinGene,MaxGene,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,MutateChangeBest,AverageFitness
1,0.5687,-0.5687,308,0.6755,0.3109,0.1607,0.4758,0.2708
2,0.4425,-0.4425,284,0.5722,0.3090,0.1534,0.4479,0.2744
3,0.4939,-0.4939,318,0.6354,0.3327,0.2415,0.5034,0.2282
4,0.2622,-0.2622,271,0.5659,0.3715,0.2826,0.4200,0.2843
5,0.3909,-0.3909,295,0.6991,0.3679,0.2372,0.4394,0.2422
6,0.2279,-0.2279,291,0.6646,0.4154,0.1978,0.4588,0.2173
7,0.4697,-0.4697,279,0.6351,0.4175,0.2753,0.4082,0.1988
8,0.5279,-0.5279,264,0.6655,0.3678,0.2401,0.4140,0.2180
9,0.4271,-0.4271,296,0.6042,0.3029,0.2692,0.4666,0.2076
10,0.3849,-0.3849,308,0.6605,0.3003,0.2753,0.5046,0.2229
11,0.3667,-0.3667,261,0.5865,0.3353,0.1696,0.4015,0.2915
12,0.5705,-0.5705,287,0.6061,0.2884,0.2655,0.5033,0.2618
13,0.3791,-0.3791,300,0.6479,0.3960,0.2539,0.4502,0.1960
14,0.3384,-0.3384,267,0.6205,0.3882,0.1858,0.4912,0.2180
15,0.2017,-0.2017,284,0.5396,0.3359,0.2317,0.4886,0.2443
16,0.2870,-0.2870,311,0.6739,0.3976,0.2170,0.4143,0.1970
17,0.4543,-0.4543,270,0.5042,0.3771,0.2126,0.4280,0.1326
18,0.5249,-0.5249,268,0.5843,0.3137,0.1509,0.4699,0.2624
19,0.4244,-0.4244,292,0.6900,0.2830,0.2420,0.5370,0.2346
20,0.3890,-0.3890,296,0.5235,0.4077,0.2385,0.4815,0.2786
21,0.5525,-0.5525,278,0.6603,0.3229,0.1755,0.4739,0.2429
22,0.5967,-0.5967,260,0.5230,0.3374,0.2513,0.4505,0.2149
23,0.5184,-0.5184,263,0.5643,0.2987,0.1454,0.5172,0.2841
