Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,AverageFitness
1,-0.3500,0.3500,800,396,0.4000,0.5000,0.5000,0.1464
2,-0.9500,0.9500,600,211,0.3000,0.8000,0.3000,0.1053
3,-0.8000,0.8000,600,248,0.6000,0.7000,0.3000,0.1034
4,-0.0000,0.0000,400,141,0.3000,0.5000,0.5000,0.1446
5,-0.2000,0.2000,200,82,0.3000,0.4000,0.4000,0.1001
6,-0.2000,0.2000,800,272,0.3000,0.5000,0.6000,0.0773
7,-0.2000,0.2000,500,368,0.3000,0.8000,0.2000,0.0740
8,-0.8500,0.8500,300,125,0.7000,0.3000,0.3000,0.1516
9,-0.6000,0.6000,700,467,0.2000,0.7000,0.3000,0.1412
10,-0.3000,0.3000,100,43,0.3000,0.8000,0.2000,0.1226
11,-0.1000,0.1000,1100,821,0.5000,0.6000,0.5000,0.1092
12,-0.1500,0.1500,900,363,0.5000,0.7000,0.4000,0.1461
13,-0.2000,0.2000,700,286,0.4000,0.7000,0.3000,0.1413
14,-0.8500,0.8500,100,73,0.3000,0.7000,0.5000,0.1534
15,-0.6500,0.6500,500,393,0.6000,0.5000,0.4000,0.0955
16,-0.5000,0.5000,200,138,0.3000,0.5000,0.3000,0.0935
17,-0.9500,0.9500,900,606,0.5000,0.5000,0.2000,0.1524
18,-0.5500,0.5500,500,228,0.5000,0.5000,0.6000,0.1486
19,-0.5500,0.5500,900,364,0.3000,0.8000,0.3000,0.1013
20,-0.3000,0.3000,200,81,0.4000,0.7000,0.3000,0.1215
21,-1.0500,1.0500,200,104,0.6000,0.7000,0.5000,0.1491
22,-0.5000,0.5000,900,326,0.3000,0.5000,0.3000,0.0967
23,-0.1500,0.1500,1000,392,0.7000,0.4000,0.5000,0.1250
24,-0.9500,0.9500,200,130,0.3000,0.8000,0.2000,0.1216
25,-0.8000,0.8000,100,55,0.3000,0.6000,0.3000,0.1497
26,-1.0500,1.0500,400,312,0.7000,0.6000,0.5000,0.1233
27,-0.0500,0.0500,100,48,0.4000,0.8000,0.2000,0.1308
28,-0.5500,0.5500,300,151,0.4000,0.7000,0.4000,0.1528
29,-0.7500,0.7500,800,463,0.4000,0.7000,0.4000,0.0886
