Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,ActivationFunction,AverageFitness
1,-0.5500,0.5500,800,500,0.6000,0.6500,0.4000,SELU,0.1164
2,-0.1500,0.1500,300,134,0.4000,0.7000,0.3500,SELU,0.0735
3,-0.4500,0.4500,500,286,0.2500,0.8000,0.3500,TANH,0.1348
4,-0.8500,0.8500,600,460,0.6500,0.8000,0.4500,SELU,0.1207
5,-0.3500,0.3500,600,236,0.5500,0.4500,0.4500,SELU,0.0995
6,-0.9500,0.9500,900,340,0.5500,0.5000,0.4500,SELU,0.1291
7,-0.8000,0.8000,800,436,0.2500,0.5000,0.5500,SELU,0.1550
8,-1.0500,1.0500,700,455,0.4000,0.3500,0.2000,SELU,0.1031
9,-0.9000,0.9000,700,416,0.2500,0.5000,0.2000,SELU,0.1481
10,-0.9500,0.9500,900,370,0.5500,0.3000,0.5000,TANH,0.0613
11,-0.3000,0.3000,600,342,0.4000,0.7500,0.3500,TANH,0.1310
12,-1.0000,1.0000,800,350,0.7000,0.4000,0.4000,SELU,0.1053
13,-0.3000,0.3000,500,207,0.3000,0.6500,0.5500,TANH,0.1229
14,-0.7500,0.7500,100,42,0.3000,0.4000,0.2000,SELU,0.1051
15,-0.0000,0.0000,400,271,0.2500,0.6000,0.2500,TANH,0.1145
16,-0.9500,0.9500,200,74,0.2500,0.4500,0.6000,SELU,0.1106
17,-1.0000,1.0000,600,265,0.3000,0.7500,0.3000,SELU,0.0803
18,-0.5500,0.5500,400,204,0.5000,0.6000,0.3500,SELU,0.1649
19,-0.7500,0.7500,700,269,0.6000,0.7500,0.4500,SELU,0.1129
20,-0.2500,0.2500,700,440,0.5500,0.7500,0.3000,SELU,0.0957
21,-0.8000,0.8000,700,320,0.5500,0.7000,0.4000,SELU,0.1491
22,-0.3000,0.3000,100,52,0.2500,0.3000,0.2000,SELU,0.0997
23,-0.7000,0.7000,200,111,0.3500,0.3000,0.5500,TANH,0.1221
24,-0.8000,0.8000,200,88,0.7000,0.4000,0.2500,TANH,0.1113
25,-1.0500,1.0500,300,163,0.6500,0.4500,0.4500,SELU,0.1704
26,-0.6000,0.6000,700,325,0.4000,0.3500,0.3500,TANH,0.1159
27,-0.2000,0.2000,100,57,0.2500,0.3500,0.3000,SELU,0.0823
28,-1.0000,1.0000,900,456,0.3500,0.4500,0.5000,SELU,0.1369
29,-0.1500,0.1500,400,167,0.7000,0.4500,0.3000,SELU,0.1047
