Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,InitialisationMethod,MutateChangePopulation,MaxMutationRate,AverageFitness
1,-0.2090,0.2090,76,20,0.5673,random,0.2696,0.5734,0.1313
2,-0.2169,0.2169,248,23,0.5526,random,0.8632,0.2616,0.1340
3,-0.4948,0.4948,376,23,0.1391,lhs,0.3377,0.5336,0.1227
4,-3.3159,3.3159,309,15,0.1266,random,0.3196,0.3328,0.2342
5,-2.1067,2.1067,358,31,0.5628,lhs,0.5963,0.6029,0.1410
6,-1.3723,1.3723,61,23,0.4676,random,0.3497,0.3711,0.1882
7,-3.4845,3.4845,288,29,0.5149,random,0.6839,0.5158,0.2011
8,-4.6873,4.6873,161,27,0.3559,lhs,0.1978,0.6894,0.3224
9,-1.8203,1.8203,384,28,0.5821,sobol,0.5540,0.4272,0.1532
10,-4.6585,4.6585,64,18,0.1706,lhs,0.6212,0.6173,0.2147
11,-4.0109,4.0109,269,27,0.1127,lhs,0.1857,0.3675,0.3361
12,-4.8101,4.8101,110,15,0.1328,lhs,0.3432,0.4947,0.3074
13,-1.4316,1.4316,359,4,0.1345,random,0.6432,0.2081,0.1471
14,-3.1405,3.1405,140,21,0.2327,random,0.5669,0.6659,0.1342
15,-1.7210,1.7210,319,6,0.1676,random,0.4825,0.6260,0.1360
16,-3.5873,3.5873,209,14,0.5762,lhs,0.4074,0.4954,0.1999
17,-2.4981,2.4981,81,16,0.5329,random,0.1181,0.5189,0.2226
18,-4.6165,4.6165,56,31,0.6166,lhs,0.2880,0.3962,0.2835
19,-1.1406,1.1406,94,11,0.5678,sobol,0.2493,0.2140,0.2123
20,-0.4500,0.4500,202,26,0.5225,sobol,0.1262,0.6337,0.1960
21,-2.9511,2.9511,245,4,0.1645,random,0.8465,0.2870,0.2032
22,-2.1602,2.1602,275,10,0.4105,lhs,0.5829,0.4923,0.2042
23,-4.5450,4.5450,370,24,0.4123,lhs,0.6600,0.6237,0.1869
24,-0.5857,0.5857,341,29,0.4565,sobol,0.7390,0.3963,0.0969
25,-4.0187,4.0187,136,7,0.5935,sobol,0.5510,0.3903,0.1160
26,-2.8783,2.8783,233,32,0.6524,lhs,0.5053,0.4966,0.1698
27,-1.1621,1.1621,190,32,0.5731,sobol,0.8325,0.5786,0.1334
28,-4.5689,4.5689,76,6,0.5108,sobol,0.1020,0.2170,0.2602
29,-3.9689,3.9689,281,29,0.3121,random,0.2820,0.4877,0.1745
30,-3.1577,3.1577,381,14,0.1924,lhs,0.3907,0.3623,0.2566
31,-1.8700,1.8700,382,33,0.6340,sobol,0.3803,0.3476,0.1604
32,-2.9395,2.9395,348,5,0.2146,sobol,0.6507,0.6788,0.1048
33,-1.2613,1.2613,184,25,0.1330,lhs,0.4253,0.3491,0.1883
34,-2.1404,2.1404,288,29,0.4545,sobol,0.4574,0.6074,0.1645
35,-4.4214,4.4214,347,10,0.3726,random,0.2330,0.4519,0.1923
36,-2.1601,2.1601,154,26,0.4661,lhs,0.6190,0.6129,0.1747
37,-3.2201,3.2201,394,4,0.4161,lhs,0.2765,0.3511,0.2945
38,-3.3575,3.3575,308,3,0.1681,lhs,0.7979,0.6490,0.2362
39,-0.2343,0.2343,65,8,0.3625,sobol,0.4378,0.5148,0.1659
40,-2.1801,2.1801,352,10,0.4280,random,0.8625,0.2049,0.2057
41,-0.7286,0.7286,200,32,0.2777,sobol,0.8217,0.5898,0.1073
42,-1.7722,1.7722,348,11,0.3343,random,0.4648,0.5185,0.1784
43,-2.7079,2.7079,128,5,0.1723,sobol,0.3573,0.2252,0.2428
44,-3.9365,3.9365,190,15,0.1304,lhs,0.2358,0.4093,0.2961
45,-2.9955,2.9955,284,27,0.1399,lhs,0.5552,0.4902,0.1834
