Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,AverageFitness
5,-0.2000,0.2000,200,82,0.3000,0.4000,0.4000,0.1001
6,-0.2000,0.2000,800,272,0.3000,0.5000,0.6000,0.0773
7,-0.2000,0.2000,500,368,0.3000,0.8000,0.2000,0.074
15,-0.6500,0.6500,500,393,0.6000,0.5000,0.4000,0.0955
16,-0.5000,0.5000,200,138,0.3000,0.5000,0.3000,0.0935
19,-0.5500,0.5500,900,364,0.3000,0.8000,0.3000,0.1013
22,-0.5000,0.5000,900,326,0.3000,0.5000,0.3000,0.0967
29,-0.7500,0.7500,800,463,0.4000,0.7000,0.4000,0.0886
31,-0.2500,0.2500,900,671,0.3000,0.5000,0.4000,0.0912
33,-0.5500,0.5500,700,255,0.3000,0.7000,0.2000,0.0827
37,-0.4000,0.4000,800,663,0.7000,0.5000,0.3000,0.0932
39,-0.5500,0.5500,900,383,0.5000,0.7000,0.2000,0.0826
45,-0.2000,0.2000,100,69,0.5000,0.8000,0.2000,0.1008
47,-1.0500,1.0500,200,78,0.7000,0.7000,0.6000,0.0947
50,-0.8500,0.8500,800,280,0.2000,0.3000,0.5000,0.0816
53,-1.0000,1.0000,200,95,0.4000,0.6000,0.4000,0.1001
59,-0.3000,0.3000,1100,471,0.4000,0.4000,0.2000,0.0987
63,-0.4000,0.4000,800,285,0.3000,0.6000,0.4000,0.0849
65,-0.8500,0.8500,600,264,0.5000,0.4000,0.3000,0.0814
68,-0.0500,0.0500,900,320,0.4000,0.6000,0.2000,0.0898
69,-1.0000,1.0000,100,39,0.5000,0.8000,0.3000,0.0589
78,-0.8000,0.8000,800,339,0.6000,0.5000,0.2000,0.0865
79,-0.1000,0.1000,100,45,0.6000,0.5000,0.4000,0.0812
81,-0.4000,0.4000,700,282,0.7000,0.7000,0.2000,0.0965
87,-0.2000,0.2000,200,97,0.4000,0.5000,0.4000,0.1004
91,-0.1000,0.1000,200,69,0.4000,0.4000,0.2000,0.0762
94,-0.7000,0.7000,600,353,0.6000,0.8000,0.5000,0.0946
97,-0.7500,0.7500,500,228,0.4000,0.5000,0.5000,0.091
98,-0.9500,0.9500,200,80,0.7000,0.3000,0.2000,0.0671
99,-0.4500,0.4500,1000,740,0.4000,0.7000,0.5000,0.0972
102,-0.2500,0.2500,400,331,0.6000,0.3000,0.4000,0.0875
108,-0.5500,0.5500,700,394,0.4000,0.6000,0.4000,0.051
109,-0.0500,0.0500,800,367,0.4000,0.3000,0.3000,0.0847
111,-0.8500,0.8500,500,220,0.6000,0.8000,0.2000,0.0878
115,-0.7500,0.7500,700,408,0.6000,0.5000,0.2000,0.0801
116,-0.9500,0.9500,300,145,0.3000,0.7000,0.3000,0.0997
119,-0.9500,0.9500,1000,333,0.3000,0.8000,0.2000,0.0961
122,-1.0500,1.0500,300,156,0.2000,0.3000,0.5000,0.0851
