Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,ActivationFunction,AverageFitness
1,-0.55,0.55,800,500,0.6,0.65,0.4,SELU,0.1164
2,-0.15,0.15,300,134,0.4,0.7,0.35,SELU,0.0735
3,-0.45,0.45,500,286,0.25,0.8,0.35,TANH,0.1348
4,-0.85,0.85,600,460,0.65,0.8,0.45,SELU,0.1207
5,-0.35,0.35,600,236,0.55,0.45,0.45,SELU,0.0995
6,-0.95,0.95,900,340,0.55,0.5,0.45,SELU,0.1291
7,-0.8,0.8,800,436,0.25,0.5,0.55,SELU,0.155
8,-1.05,1.05,700,455,0.4,0.35,0.2,SELU,0.1031
9,-0.9,0.9,700,416,0.25,0.5,0.2,SELU,0.1481
10,-0.95,0.95,900,370,0.55,0.3,0.5,TANH,0.0613
11,-0.3,0.3,600,342,0.4,0.75,0.35,TANH,0.131
12,-1,1,800,350,0.7,0.4,0.4,SELU,0.1053
13,-0.3,0.3,500,207,0.3,0.65,0.55,TANH,0.1229
14,-0.75,0.75,100,42,0.3,0.4,0.2,SELU,0.1051
15,0,0,400,271,0.25,0.6,0.25,TANH,0.1145
16,-0.95,0.95,200,74,0.25,0.45,0.6,SELU,0.1106
17,-1,1,600,265,0.3,0.75,0.3,SELU,0.0803
18,-0.55,0.55,400,204,0.5,0.6,0.35,SELU,0.1649
19,-0.75,0.75,700,269,0.6,0.75,0.45,SELU,0.1129
20,-0.25,0.25,700,440,0.55,0.75,0.3,SELU,0.0957
21,-0.8,0.8,700,320,0.55,0.7,0.4,SELU,0.1491
22,-0.3,0.3,100,52,0.25,0.3,0.2,SELU,0.0997
23,-0.7,0.7,200,111,0.35,0.3,0.55,TANH,0.1221
24,-0.8,0.8,200,88,0.7,0.4,0.25,TANH,0.1113
25,-1.05,1.05,300,163,0.65,0.45,0.45,SELU,0.1704
26,-0.6,0.6,700,325,0.4,0.35,0.35,TANH,0.1159
27,-0.2,0.2,100,57,0.25,0.35,0.3,SELU,0.0823
28,-1,1,900,456,0.35,0.45,0.5,SELU,0.1369
29,-0.15,0.15,400,167,0.7,0.45,0.3,SELU,0.1047
30,-0.45,0.45,400,163,0.5,0.75,0.2,SELU,0.1053
31,-0.2,0.2,900,422,0.45,0.6,0.45,SELU,0.1154
32,-0.2,0.2,900,355,0.65,0.65,0.55,SELU,0.0987
33,-0.55,0.55,300,162,0.45,0.75,0.15,TANH,0.0744
34,-0.45,0.45,900,435,0.4,0.7,0.2,SELU,0.0876
