Iteration,MinGene,MaxGene,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,MutateChangeBest,AverageFitness
8,-0.04,0.04,350,0.69,0.3972,0.2157,0.6,0.0284
11,-0.04,0.04,400,0.69,0.4799,0.1993,0.5,0.0396
12,-0.07,0.07,350,0.69,0.3192,0.2771,0.4,0.0494
14,-0.07,0.07,350,0.69,0.32,0.208,0.5,0.0502
15,-0.04,0.04,400,0.69,0.4307,0.2999,0.4,0.0689
20,-0.1,0.1,350,0.69,0.3822,0.3045,0.4,0.0681
22,-0.04,0.04,400,0.69,0.4332,0.2952,0.4,0.0429
25,-0.04,0.04,350,0.69,0.4647,0.2659,0.6,0.0338
28,-0.1,0.1,400,0.69,0.3581,0.2901,0.6,0.0649
33,-0.1,0.1,350,0.69,0.3649,0.211,0.5,0.0641
40,-0.1,0.1,400,0.69,0.4447,0.2853,0.5,0.068
53,-0.04,0.04,400,0.69,0.4144,0.2962,0.5,0.029
