Iteration,MinGene,MaxGene,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,MutateChangeBest,AverageFitness
1,-0.04,0.04,350,0.69,0.4025,0.3134,0.5,0.0704
2,-0.04,0.04,350,0.62,0.4387,0.1948,0.5,0.0693
4,-0.04,0.04,350,0.69,0.4936,0.2593,0.5,0.1152
6,-0.04,0.04,400,0.69,0.3864,0.2694,0.4,0.0696
7,-0.04,0.04,350,0.66,0.4162,0.2756,0.4,0.1133
8,-0.04,0.04,350,0.69,0.3972,0.2157,0.6,0.0284
11,-0.04,0.04,400,0.69,0.4799,0.1993,0.5,0.0396
15,-0.04,0.04,400,0.69,0.4307,0.2999,0.4,0.0689
17,-0.04,0.04,400,0.69,0.3381,0.277,0.6,0.082
19,-0.04,0.04,200,0.69,0.3117,0.2139,0.6,0.047
22,-0.04,0.04,400,0.69,0.4332,0.2952,0.4,0.0429
23,-0.04,0.04,400,0.62,0.4277,0.2984,0.6,0.1038
25,-0.04,0.04,350,0.69,0.4647,0.2659,0.6,0.0338
26,-0.04,0.04,350,0.66,0.4764,0.3126,0.5,0.0778
30,-0.04,0.04,200,0.69,0.341,0.3154,0.6,0.1058
31,-0.04,0.04,200,0.69,0.3894,0.1913,0.4,0.0613
34,-0.04,0.04,400,0.66,0.4311,0.2313,0.4,0.0776
36,-0.04,0.04,200,0.62,0.3247,0.2604,0.6,0.0449
37,-0.04,0.04,200,0.62,0.3232,0.2288,0.4,0.0495
50,-0.04,0.04,350,0.69,0.4852,0.2805,0.6,0.0797
53,-0.04,0.04,400,0.69,0.4144,0.2962,0.5,0.029
54,-0.04,0.04,400,0.62,0.3843,0.2589,0.4,0.053
